"Coordinate Z, mm","Force Down, N","Force Up, N"
0,-0.6873052639131578,-0.6071866839151758
1,-0.8851761852368373,-0.7698963454150402
2,-0.730779678478957,-0.7653106993800259
3,-0.5338279633349182,-0.8124940903431646
4,-0.7121421012411667,-0.9643385268375497
5,-0.41586569476438645,-0.891559729284844
6,-0.29530766707610423,-0.9260859353515859
7,0.13698078118075876,-0.6396472733086006
8,0.3033743602781503,-0.5005673618583376
9,0.6199088107424167,-0.5364842876420852
10,0.9880823870700102,-0.05006597085866861
11,1.4106279656802017,0.26482292267572904
12,2.1317099225706855,0.7593359135200756
13,2.6800066712556645,0.9148352052455879
14,3.332814952210493,1.4594622160960171